Deposit Name,Longitude,Latitude,Commodity Group
A1,146.1997,-37.5051,Gold
Agate Creek,143.602,-18.884,Base metals
Agnew,120.5081,-28.00071,Gold
Airly,150.01477,-33.09775,Coal
Anglo Saxon,122.732,-30.0767,Gold
Apollo ,121.7825,-31.3948,Gold
Appin,150.7918,-34.2079,Coal
Argo,121.7781,-31.3948,Gold
Argyle,128.38393,-16.71165,Diamond
Ashton,151.06667,-32.46667,Coal
Augusta,144.8024,-36.8987,Gold
Austar,151.30462,-32.86686,Coal
Axehandle,119.3931,-31.3165,Gold
Ballarat East,143.8597,-37.5897,Gold
Balmoral Central,116.14735,-21.07959,Iron ore
Bamboo Creek,120.2117,-20.9307,Iron ore
Baralaba,149.80324,-24.16486,Coal
Barbara,139.84898,-20.41682,Base metals
Batavia,118.4204,-26.6606,Gold
Bengalla,150.846,-32.2715,Coal
Beta Hunt,121.69392,-31.24026,Base metals
Big Bell,117.6542,-27.3209,Gold
Blackwater,148.80736,-23.68559,Coal
Blair Athol,147.527,-22.6905,Coal
Bloomfield,151.56696,-32.79219,Coal
Bluebird,118.4251,-26.7162,Gold
Boddington,116.3581,-32.7509,Base metals
Boggabri,150.16334,-30.59041,Coal
Boonanarring,115.83464,-31.22368,Mineral sands
Bootu Creek,134.12584,-18.69976,Base metals
Broadlea,148.1825,-21.9267,Coal
Broadmeadow,148.15245,-21.80761,Coal
Brockman 2,117.34386,-22.4381,Iron ore
Brockman 4,117.1737,-22.61128,Iron ore
Broken Hill,141.465,-31.9665,Base metals
Bulga,151.10998,-32.68684,Coal
Byerwen,147.81,-21.35,Coal
Cadia East,149.0123,-33.465,Base metals
Callide,150.62217,-24.31092,Coal
Callie,129.9249,-20.5266,Gold
Callisto,118.2873,-27.0867,Gold
Cameby Downs,150.28718,-26.57862,Coal
Cannington,140.9199,-21.8658,Base metals
Cannon,121.7629,-30.8161,Gold
Capcoal,148.54994,-22.90412,Coal
Carborough Downs,148.2094,-21.9502,Coal
Carosue Dam,122.35,-30.12,Gold
Carrapateena,137.4984,-31.2175,Base metals
Caval Ridge,148.17199,-22.22146,Coal
Celebration,121.5903,-30.0059,Gold
Centenary,121.2868,-27.8884,Gold
Century,138.62385,-18.73952,Base metals
Chain Valley,151.55,-33.16306,Coal
Channar JV,117.78859,-23.29938,Iron ore
Cheriton's Find,119.6592,-31.8307,Gold
Chesney,145.8578,-31.52122,Base metals
Clarence,150.24393,-33.45648,Coal
Clermont,147.63077,-22.68922,Coal
Cliffs,120.55283,-27.31049,Base metals
Cloncurry,140.741,-20.75734,Gold
Cloudbreak,119.39639,-22.30278,Iron ore
Christmas Creek,119.39639,-22.30278,Iron ore
Cobar,145.7986,-31.40802,Base metals
Cock -Eyed Bob,122.1761,-31.0895,Gold
Collinsville,147.76856,-20.56761,Coal
Comet Vale,121.13104,-29.95493,Gold
Commodore,151.27905,-27.93027,Coal
Cooljarloo ,115.36068,-30.59331,Mineral sands
Coppabella,148.42719,-21.84455,Coal
Cornishman,119.3613,-31.2785,Gold
Cornwall,148.13333,-41.55,Coal
Cosmo Howley,131.3761,-13.5369,Gold
Costerfield,144.8015,-36.8957,Gold
Cowal,147.4067,-33.6369,Gold
Cracow,150.2703,-25.28928,Gold
Curragh,148.85414,-23.46622,Coal
Daisy Milano,121.9224,-31.0133,Gold
Dalgaranga,117.2653,-27.84617,Gold
Darlot Project,121.2689,-27.8875,Gold
Daunia,148.28855,-22.04399,Coal
Dawson,150.05924,-24.61683,Coal
Deep South,122.5479,-29.5459,Gold
Deflector,116.3796,-28.6691,Base metals
DeGrussa,119.3281,-25.5406,Base metals
Dendrobium,150.76,-34.38,Coal
Drake,147.816,-20.708,Coal
Dugald River,140.1558,-20.2545,Base metals
Duketon,122.356,-27.9064,Gold
East Kundana,121.23,-30.72,Iron ore
Eastern Range,117.65722,-23.24099,Iron ore
Edna May,118.6998,-31.2912,Gold
Eloise,140.97989,-20.95485,Base metals
Endeavor,145.6538,-31.16292,Base metals
Ensham,148.49746,-23.45446,Coal
Ernest Henry,140.70281,-20.43983,Base metals
Ewington,116.25,-33.3624,Coal
Fairplay,121.7239,-31.7492,Gold
Federal Flag,120.6475,-30.1362,Gold
Firetail,117.76949,-22.12867,Iron ore
Flying Fox,119.68899,-32.41846,Base metals
Fortnum,118.36,-25.33,Gold
Fosterville,144.5036,-36.7163,Gold
Four Mile,139.52917,-30.14167,Uranium
Foxleigh,148.80389,-22.99778,Coal
Frog's Leg,121.2701,-30.7616,Gold
Geko,120.9,-30.86409,Gold
George Fisher,139.47201,-20.57105,Base metals
Ginkgo,142.22598,-33.36441,Mineral sands
Glendell,151.07755,-32.45119,Coal
Golden Age ,120.246,-26.6018,Gold
Golden Cities,121.39675,-30.40724,Gold
Golden Eagle,120.1205,-21.9671,Gold
Golden Eagle,120.6557,-30.049,Gold
Golden Gate,120.4169,-21.80833,Gold
Golden Grove,116.9848,-28.7629,Base metals
Goondicum,151.43386,-24.85565,Mineral sands
Goonyella,147.96205,-21.79232,Coal
Gossan Hill,116.9626,-28.7772,Base metals
Granite Belt,151.29045,-28.83055,Base metals
Granny Smith,122.423,-28.812,Gold
Groote Eylandt,136.44555,-13.99216,Base metals
Grosvenor,147.99273,-21.87317,Coal
Gruyere,123.878,-28.0106,Gold
Gwalia,121.334,-28.9185,Gold
Hail Creek,148.40681,-21.50538,Coal
Hamlet,121.8122,-31.4001,Gold
Haoma,121.9189,-31.0119,Gold
Hellyer,145.7221,-41.5746,Base metals
Hera,146.3259,-32.1107,Base metals
Hermes,118.9098,-25.5845,Gold
Higginsville,121.7377,-31.7303,Gold
Homestead,121.2283,-30.5421,Gold
Hope Downs 1,119.11216,-22.94839,Iron ore
Hope Downs 4,119.5788,-23.14587,Iron ore
Hunter Valley Operations,150.992,-32.5104,Coal
Perth Basin,115.3018,-29.85581,Mineral sands
Integra ,151.13498,-32.46884,Coal
Iron Hill ,117.17536,-29.60332,Iron ore
Iron Valley,119.3171,-22.7201,Iron ore
Isaac Plains,148.108,-21.992,Coal
Jacinth-Ambrosia,132.22867,-30.86113,Mineral sands
Jaguar,121.17,-28.4839,Base metals
Janet Ivy,121.3834,-30.7745,Gold
Jaurdi,120.925,-30.68871,Gold
