Date,Expense,Drilled
Jun-94,220.6,2485
Sep-94,226.1,2751
Dec-94,232.2,2785
Mar-95,190.3,2045
Jun-95,244.6,2749
Sep-95,227.1,2799
Dec-95,229.3,2282
Mar-96,219,2364
Jun-96,284.9,3069
Sep-96,274.2,3248
Dec-96,291.6,3086
Mar-97,235.6,2768
Jun-97,347.2,3729
Sep-97,301.8,3596
Dec-97,282,2878
Mar-98,220.4,2007
Jun-98,262.6,2727.7
Sep-98,235.9,2183.2
Dec-98,239.6,2619.4
Mar-99,167.3,1247
Jun-99,195,2051.1
Sep-99,180.1,1742.8
Dec-99,176.9,1379.1
Mar-00,136.7,1064.3
Jun-00,182.7,1817.4
Sep-00,169.8,1581.8
Dec-00,187.2,1525.2
Mar-01,143.5,1218.5
Jun-01,182.8,1496.4
Sep-01,167.4,1389.4
Dec-01,170.7,1297.2
Mar-02,134.2,936.7
Jun-02,168.3,1210.8
Sep-02,182.9,1468.3
Dec-02,192.8,1094.8
Mar-03,153.4,1076.1
Jun-03,203.7,1518.3
Sep-03,179.7,1404
Dec-03,199.5,1326
Mar-04,167.3,1104
Jun-04,240.2,1847.1
Sep-04,251.1,1921.6
Dec-04,260.8,1648.5
Mar-05,225.8,1431.4
Jun-05,290.7,1782.9
Sep-05,292,1835
Dec-05,327.6,1618.6
Mar-06,263.7,1467.1
Jun-06,357.4,1916.1
Sep-06,394.6,2251
Dec-06,448.2,2099.7
Mar-07,369.3,1784.2
Jun-07,502.5,2319.7
Sep-07,563.4,2556.7
Dec-07,625.9,2446.1
Mar-08,544,2012.5
Jun-08,728.1,2740.3
Sep-08,687.7,2704.8
Dec-08,648.5,2236.5
Mar-09,403.5,1226.5
Jun-09,483.5,1719.9
Sep-09,557.4,2141
Dec-09,578.8,2294.1
Mar-10,459.3,1543.3
Jun-10,637.1,2320.5
Sep-10,669.4,2463.2
Dec-10,724.4,2382
Mar-11,650.1,1978.9
Jun-11,907.4,2875.2
Sep-11,983.4,3157.9
Dec-11,1032.4,2955.6
Mar-12,876.1,2271.6
Jun-12,1061.1,3023.5
Sep-12,894.7,2714.2
Dec-12,823.9,2179
Mar-13,672.2,1534.3
Jun-13,664.6,1992.5
Sep-13,638.4,1846.3
Dec-13,547.4,1764.1
Mar-14,407.6,1148.1
Jun-14,515,1694.8
Sep-14,457.7,1669
Dec-14,459.2,1613.1
Mar-15,317.7,1140.7
Jun-15,344.1,1540.2
Sep-15,394,1573.5
Dec-15,382.8,1682.3
Mar-16,290.4,1301.3
Jun-16,353.9,1794.6
Sep-16,379.5,1796.9
Dec-16,403.1,1842.6
Mar-17,337.6,1591.2
Jun-17,444.9,2298.7
Sep-17,475.2,2294
Dec-17,496.1,2175.9
Mar-18,438.7,1853.6
Jun-18,567.8,2672.8
Sep-18,584.4,2811.6
Dec-18,592.7,2494.5
Mar-19,505.7,2215.8
Jun-19,664.8,2679.7
Sep-19,724.8,2780.3
Dec-19,753.1,2715.2
Mar-20,610.6,2252.7
Jun-20,683.3,2495.4
Sep-20,744.9,2964.8
Dec-20,770,2990.2
Mar-21,734.8,2793.8
Jun-21,912,3644
Sep-21,997.6,3622.6
Dec-21,951.7,3150.3
Mar-22,855.3,2654.8
Jun-22,1057.3,3101.8
Sep-22,1099.3,3076.9
Dec-22,1048.2,2851
Mar-23,895.9,2432.7
Jun-23,1090,2934.7
Sep-23,1159.9,2803.1
Dec-23,1114.8,2648.8
Mar-24,909.6,1985
Jun-24,1015.3,2591.3
