Date,New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory
Mar 2018,2.0,5.0,3.0,6.0,1.0,7.0,4.0
Jun 2018,3.0,5.0,2.0,6.0,1.0,7.0,4.0
Sep 2018,3.0,5.0,2.0,6.0,1.0,7.0,4.0
Dec 2018,3.0,5.0,2.0,6.0,1.0,7.0,4.0
Mar 2019,2.0,5.0,3.0,6.0,1.0,7.0,4.0
Jun 2019,3.0,5.0,2.0,6.0,1.0,7.0,4.0
Sep 2019,3.0,5.0,2.0,6.0,1.0,7.0,4.0
Dec 2019,3.0,5.0,2.0,6.0,1.0,7.0,4.0
Mar 2020,3.0,4.0,2.0,6.0,1.0,7.0,5.0
Jun 2020,3.0,4.0,2.0,6.0,1.0,7.0,5.0
Sep 2020,3.0,4.0,2.0,6.0,1.0,7.0,5.0
Dec 2020,3.0,4.0,2.0,6.0,1.0,7.0,5.0
Mar 2021,3.0,4.0,2.0,6.0,1.0,7.0,5.0
Jun 2021,3.0,4.0,2.0,6.0,1.0,7.0,5.0
Sep 2021,3.0,4.0,2.0,6.0,1.0,7.0,5.0
Dec 2021,3.0,4.0,2.0,6.0,1.0,7.0,5.0
Mar 2022,3.0,4.0,2.0,6.0,1.0,7.0,5.0
Jun 2022,3.0,4.0,2.0,6.0,1.0,7.0,5.0
Sep 2022,3.0,5.0,2.0,6.0,1.0,7.0,4.0
Dec 2022,3.0,6.0,2.0,5.0,1.0,7.0,4.0
Mar 2023,3.0,5.0,2.0,4.0,1.0,7.0,6.0
Jun 2023,3.0,6.0,2.0,4.0,1.0,7.0,5.0
Sep 2023,3.0,6.0,2.0,4.0,1.0,7.0,5.0
Dec 2023,3.0,6.0,2.0,4.0,1.0,7.0,5.0
