Date,State,Type,Value
Mar-18,New South Wales,Base Metal,35.3
Jun-18,New South Wales,Base Metal,44.4
Sep-18,New South Wales,Base Metal,30.3
Dec-18,New South Wales,Base Metal,35.7
Mar-19,New South Wales,Base Metal,35.1
Jun-19,New South Wales,Base Metal,34.3
Sep-19,New South Wales,Base Metal,34.8
Dec-19,New South Wales,Base Metal,31.7
Mar-20,New South Wales,Base Metal,20.4
Jun-20,New South Wales,Base Metal,19.7
Sep-20,New South Wales,Base Metal,19.6
Dec-20,New South Wales,Base Metal,25.4
Mar-21,New South Wales,Base Metal,22.8
Jun-21,New South Wales,Base Metal,30.8
Sep-21,New South Wales,Base Metal,29.1
Dec-21,New South Wales,Base Metal,28.4
Mar-22,New South Wales,Base Metal,27.4
Jun-22,New South Wales,Base Metal,30.1
Sep-22,New South Wales,Base Metal,34.3
Dec-22,New South Wales,Base Metal,34.1
Mar-23,New South Wales,Base Metal,34.6
Jun-23,New South Wales,Base Metal,38.1
Sep-23,New South Wales,Base Metal,33
Dec-23,New South Wales,Base Metal,29.5
Mar-18,New South Wales,Gold,8.9
Jun-18,New South Wales,Gold,8.8
Sep-18,New South Wales,Gold,14.7
Dec-18,New South Wales,Gold,13.7
Mar-19,New South Wales,Gold,13.8
Jun-19,New South Wales,Gold,21.5
Sep-19,New South Wales,Gold,26.1
Dec-19,New South Wales,Gold,33.1
Mar-20,New South Wales,Gold,27.3
Jun-20,New South Wales,Gold,28.9
Sep-20,New South Wales,Gold,23.6
Dec-20,New South Wales,Gold,28
Mar-21,New South Wales,Gold,28.7
Jun-21,New South Wales,Gold,34.4
Sep-21,New South Wales,Gold,28.6
Dec-21,New South Wales,Gold,27.4
Mar-22,New South Wales,Gold,29.9
Jun-22,New South Wales,Gold,28.4
Sep-22,New South Wales,Gold,22.7
Dec-22,New South Wales,Gold,19.8
Mar-23,New South Wales,Gold,17.9
Jun-23,New South Wales,Gold,28.5
Sep-23,New South Wales,Gold,25.5
Dec-23,New South Wales,Gold,32.1
Mar-18,New South Wales,Iron ore,
Jun-18,New South Wales,Iron ore,
Sep-18,New South Wales,Iron ore,
Dec-18,New South Wales,Iron ore,
Mar-19,New South Wales,Iron ore,
Jun-19,New South Wales,Iron ore,
Sep-19,New South Wales,Iron ore,
Dec-19,New South Wales,Iron ore,
Mar-20,New South Wales,Iron ore,
Jun-20,New South Wales,Iron ore,
Sep-20,New South Wales,Iron ore,0
Dec-20,New South Wales,Iron ore,
Mar-21,New South Wales,Iron ore,
Jun-21,New South Wales,Iron ore,
Sep-21,New South Wales,Iron ore,0
Dec-21,New South Wales,Iron ore,
Mar-22,New South Wales,Iron ore,
Jun-22,New South Wales,Iron ore,
Sep-22,New South Wales,Iron ore,
Dec-22,New South Wales,Iron ore,
Mar-23,New South Wales,Iron ore,
Jun-23,New South Wales,Iron ore,
Sep-23,New South Wales,Iron ore,
Dec-23,New South Wales,Iron ore,
Mar-18,New South Wales,Mineral sands,
Jun-18,New South Wales,Mineral sands,
Sep-18,New South Wales,Mineral sands,
Dec-18,New South Wales,Mineral sands,
Mar-19,New South Wales,Mineral sands,
Jun-19,New South Wales,Mineral sands,
Sep-19,New South Wales,Mineral sands,
Dec-19,New South Wales,Mineral sands,
Mar-20,New South Wales,Mineral sands,
Jun-20,New South Wales,Mineral sands,
Sep-20,New South Wales,Mineral sands,
Dec-20,New South Wales,Mineral sands,2.2
Mar-21,New South Wales,Mineral sands,
Jun-21,New South Wales,Mineral sands,
Sep-21,New South Wales,Mineral sands,
Dec-21,New South Wales,Mineral sands,
Mar-22,New South Wales,Mineral sands,
Jun-22,New South Wales,Mineral sands,
Sep-22,New South Wales,Mineral sands,
